MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.8700000
MsgID.LOCAL_POSITION,204.1800000,0.0306427,0.1217075,-0.3687933
MsgID.LOCAL_VELOCITY,204.1800000,0.0005479,-0.0139673,-0.8746205
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924805,0.6080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.9600000
MsgID.LOCAL_POSITION,204.4300000,0.0583409,0.1255523,-0.6088735
MsgID.LOCAL_VELOCITY,204.4300000,-0.0011823,-0.0157195,-0.9604037
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924803,0.8640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.0700000
MsgID.LOCAL_POSITION,204.6800000,0.0406442,-0.0701382,-0.8641343
MsgID.LOCAL_VELOCITY,204.6800000,-0.0039234,-0.0098107,-1.0728999
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924814,1.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.1700000
MsgID.LOCAL_POSITION,204.9300000,0.1637523,-0.0912674,-1.1374129
MsgID.LOCAL_VELOCITY,204.9300000,-0.0005352,0.0065320,-1.1721587
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924810,1.4280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-1.3300000
MsgID.LOCAL_POSITION,205.1810000,0.1113224,-0.0327559,-1.4288194
MsgID.LOCAL_VELOCITY,205.1810000,-0.0081959,0.0187981,-1.3335932
MsgID.LOCAL_POSITION,205.4310000,0.0250986,-0.1591388,-1.7457500
MsgID.LOCAL_VELOCITY,205.4310000,-0.0125793,0.0233863,-1.4223679
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924802,1.7450000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,-1.4200000
MsgID.LOCAL_POSITION,205.6810000,0.0228819,-0.0041435,-2.0693352
MsgID.LOCAL_VELOCITY,205.6810000,-0.0045725,0.0281287,-1.4341877
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924802,2.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-1.4300000
MsgID.LOCAL_POSITION,205.9310000,0.0220506,0.0652453,-2.4122086
MsgID.LOCAL_VELOCITY,205.9310000,-0.0002038,0.0208840,-1.5571088
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924801,2.4120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-1.5500000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,206.1810000,0.0223250,0.0174491,-2.7773249
MsgID.LOCAL_VELOCITY,206.1810000,-0.0008393,0.0114824,-1.6101882
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,2.7770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-1.6100000
MsgID.LOCAL_POSITION,206.4310000,0.0170248,-0.1350306,-3.1687930
MsgID.LOCAL_VELOCITY,206.4310000,-0.0015057,0.0108862,-1.6677332
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924801,3.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-1.6600000
MsgID.LOCAL_POSITION,206.6820000,-0.0270748,0.0712181,-3.5990143
MsgID.LOCAL_VELOCITY,206.6820000,0.0021719,0.0204113,-1.7651865
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924797,3.5990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-1.7600000
MsgID.LOCAL_POSITION,206.9320000,0.0254335,0.0676887,-4.0557337
MsgID.LOCAL_VELOCITY,206.9320000,0.0070797,0.0115517,-1.8299078
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924802,4.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-1.8200000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,207.1820000,0.0276434,-0.1048238,-4.5503855
MsgID.LOCAL_VELOCITY,207.1820000,0.0039472,0.0092284,-1.9116836
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924802,4.5500000
